plane_id,engine_id,engine_n,mtow,apu_id,plane_type
J328-A,7PW078,2,6.58879129129129,36-150[ ],medium
C56X-A,1AS002,2,9.17886786786787,,business
DHC-8,PW150A,2,15.649,,medium
A306-F,1PW048,2,170.5,331-200ER,medium
B744-B,2GE045,4,394.246,PW901A,jumbo
A310-B,2GE037,2,164,331-200ER,medium
B735-A,1CM004,2,52.39,85-129,medium
FA7X-A,11PW100,3,31.3535585585586,36-150[RR],business
GLF5-A,6BR010,2,41.1231456456456,36-150[RR],business
GLF6-A,11BR011,2,41.1231456456456,36-150[RR],business
G59-A,FOCA-9,1,15.649,,piston
C680-A,7PW077,2,13.7683018018018,,business
S20,AE2100A ,2,23,,medium
B463-A,1TL003,4,42.185,36-150[ ],medium
B736-A,3CM030,2,52.39,131-9,medium
S34,CT75A2,2,12.7,,medium
A388-B,8RR046,4,271,331-200ER,jumbo
E50P-A,1PW035,2,4.75,36-150[ ],business
PRM1-A,1PW036,2,6.6,85-129,business
BE40-A,1PW037,2,16.3,,business
G150-A,1AS002,2,11.8598243243243,36-150[RR],business
GLF4-A,6RR042,2,32.5804369369369,36-150[RR],business
B462-A,1TL003,4,42.185,36-100,business
GLEX-A,4BR009,2,54.9823273273273,36-150[RR],business
A124-A,3GE078,4,64,,medium
B762-B,1GE012,2,159.21,331-200ER,jumbo
T204-A,13AA008,2,103,85-129,business
IL76-A,1AA002,4,190,700-4B,business
G280-A,11HN005,2,15.8358190690691,36-150[RR],business
HA4T-A,7PW079,2,41.1231456456456,,business
CRJ7-A,5GE083,2,19.026,36-150[RR],business
AN-26,AI24VT,2,24,,medium
B748-A,11GE139,4,317.52,600-4,jumbo
IL96-A,13AA006,4,215,700-4B,business
C750-B,6AL024,2,16.2220585585586,,business
CL41-A,1PW036,1,19.9254136636637,,business
DHC4-A,FOCA-9,2,15.649,,piston
MD11-A,2GE049,3,280.818828828829,700-4B,business
R722-A,4PW070,3,95.1966741741742,85-129,medium
DC3-A,FOCA-9,2,15.649,,piston
MD83-C,4PW071,2,72.58,85-129,business
B703-A,1PW001,4,151.315,85-129,medium
B789-B,12RR055,2,351.5,331-500,jumbo
C560-B,1PW038,2,7.40671021021021,,business
EA50-A,1PW035,2,2.7241243993994,,business
MD82-C,4PW070,2,35.63,85-129,medium
A148-A,13ZM004,2,9.5,,medium
A743-A,1ZM001,2,37.5,,medium
B743-B,3GE077,4,377.8,600-4,jumbo
C650-A,1AS002,2,9.99678678678679,,business
F70-A,1RR020,2,44.45,30-54,business
G21-A,FOCA-18,2,15.649,,piston
L10-A,FOCA-12,2,15.649,,piston
L200-A,FOCA-2,2,15.649,,piston
MU30-A,1PW036,2,5.22559309309309,,business
T154-A,1AA004,3,100,85-129,business
A30B-B,3GE074,2,157.487,700-4B,medium
A342-A,1CM010,4,257,331-350,jumbo
A345-A,8RR044,4,271,331-350,jumbo
A359-A,14RR075,2,271,331-350,medium
B461-A,1TL003,4,42.185,36-100,medium
B742-A,3GE077,4,377.85,600-4,jumbo
B74S-A,8PW085,4,317.52,PW901A,jumbo
BN2P-A,FOCA-3,2,2.86271621621622,,piston
CL35-A,14HN009,2,17.622,36-150[RR],medium
DC10-C,3GE074,3,263.636,700-4B,jumbo
DC93-A,1PW010,2,54.9,85-129,business
F28-A,4RR035,2,33.1711561561562,36-4A,business
JCOM-A,1PW037,2,41.1231456456456,,business
MD87-B,4PW071,2,67.812,85-129,business
MD88-A,4PW070,2,67.812,85-129,business
SU95-A,11PJ002,2,67.812,,business
YK40-A,1AS001,3,67.812,,business
